"ID","RVO2021_MindistAnyFarm_INV","RVO2021_MindistAnyFarm_NEG","RVO2021_MindistCattleFarm5plus_INV","RVO2021_MindistCattleFarm5plus_NEG","RVO2021_MindistChickenFarm250plus_INV","RVO2021_MindistChickenFarm250plus_NEG","RVO2021_MindistDucksTurkeyPoultryFarm250plus_INV","RVO2021_MindistDucksTurkeyPoultryFarm250plus_NEG","RVO2021_MindistGoatFarm50plus_INV","RVO2021_MindistGoatFarm50plus_NEG","RVO2021_MindistHorsePonyDonkeyFarm5plus_INV","RVO2021_MindistHorsePonyDonkeyFarm5plus_NEG","RVO2021_MindistPigFarm15plus_INV","RVO2021_MindistPigFarm15plus_NEG","RVO2021_MindistSheepFarm50plus_INV","RVO2021_MindistSheepFarm50plus_NEG","RVO2021_nCattle_10000m","RVO2021_nCattle_1000m","RVO2021_nCattle_2000m","RVO2021_nCattle_250m","RVO2021_nCattle_3000m","RVO2021_nCattle_500m","RVO2021_nCattleFarm_10000m","RVO2021_nCattleFarm_1000m","RVO2021_nCattleFarm_2000m","RVO2021_nCattleFarm_250m","RVO2021_nCattleFarm_3000m","RVO2021_nCattleFarm_500m","RVO2021_nCattleFarmWghtDist_10000m","RVO2021_nCattleFarmWghtDist_1000m","RVO2021_nCattleFarmWghtDist_2000m","RVO2021_nCattleFarmWghtDist_250m","RVO2021_nCattleFarmWghtDist_3000m","RVO2021_nCattleFarmWghtDist_500m","RVO2021_nCattleWghtDist_10000m","RVO2021_nCattleWghtDist_1000m","RVO2021_nCattleWghtDist_2000m","RVO2021_nCattleWghtDist_250m","RVO2021_nCattleWghtDist_3000m","RVO2021_nCattleWghtDist_500m","RVO2021_nChickenFarm_10000m","RVO2021_nChickenFarm_1000m","RVO2021_nChickenFarm_2000m","RVO2021_nChickenFarm_250m","RVO2021_nChickenFarm_3000m","RVO2021_nChickenFarm_500m","RVO2021_nChickenFarmWghtDist_10000m","RVO2021_nChickenFarmWghtDist_1000m","RVO2021_nChickenFarmWghtDist_2000m","RVO2021_nChickenFarmWghtDist_250m","RVO2021_nChickenFarmWghtDist_3000m","RVO2021_nChickenFarmWghtDist_500m","RVO2021_nChickens_10000m","RVO2021_nChickens_1000m","RVO2021_nChickens_2000m","RVO2021_nChickens_250m","RVO2021_nChickens_3000m","RVO2021_nChickens_500m","RVO2021_nChickensWghtDist_10000m","RVO2021_nChickensWghtDist_1000m","RVO2021_nChickensWghtDist_2000m","RVO2021_nChickensWghtDist_250m","RVO2021_nChickensWghtDist_3000m","RVO2021_nChickensWghtDist_500m","RVO2021_nDucksTurkeysPoultry_10000m","RVO2021_nDucksTurkeysPoultry_1000m","RVO2021_nDucksTurkeysPoultry_2000m","RVO2021_nDucksTurkeysPoultry_250m","RVO2021_nDucksTurkeysPoultry_3000m","RVO2021_nDucksTurkeysPoultry_500m","RVO2021_nDucksTurkeysPoultryFarm_10000m","RVO2021_nDucksTurkeysPoultryFarm_1000m","RVO2021_nDucksTurkeysPoultryFarm_2000m","RVO2021_nDucksTurkeysPoultryFarm_250m","RVO2021_nDucksTurkeysPoultryFarm_3000m","RVO2021_nDucksTurkeysPoultryFarm_500m","RVO2021_nDucksTurkeysPoultryFarmWghtDist_10000m","RVO2021_nDucksTurkeysPoultryFarmWghtDist_1000m","RVO2021_nDucksTurkeysPoultryFarmWghtDist_2000m","RVO2021_nDucksTurkeysPoultryFarmWghtDist_250m","RVO2021_nDucksTurkeysPoultryFarmWghtDist_3000m","RVO2021_nDucksTurkeysPoultryFarmWghtDist_500m","RVO2021_nDucksTurkeysPoultryWghtDist_10000m","RVO2021_nDucksTurkeysPoultryWghtDist_1000m","RVO2021_nDucksTurkeysPoultryWghtDist_2000m","RVO2021_nDucksTurkeysPoultryWghtDist_250m","RVO2021_nDucksTurkeysPoultryWghtDist_3000m","RVO2021_nDucksTurkeysPoultryWghtDist_500m","RVO2021_nGoatFarm_10000m","RVO2021_nGoatFarm_1000m","RVO2021_nGoatFarm_2000m","RVO2021_nGoatFarm_250m","RVO2021_nGoatFarm_3000m","RVO2021_nGoatFarm_500m","RVO2021_nGoatFarmWghtDist_10000m","RVO2021_nGoatFarmWghtDist_1000m","RVO2021_nGoatFarmWghtDist_2000m","RVO2021_nGoatFarmWghtDist_250m","RVO2021_nGoatFarmWghtDist_3000m","RVO2021_nGoatFarmWghtDist_500m","RVO2021_nGoats_10000m","RVO2021_nGoats_1000m","RVO2021_nGoats_2000m","RVO2021_nGoats_250m","RVO2021_nGoats_3000m","RVO2021_nGoats_500m","RVO2021_nGoatsWghtDist_10000m","RVO2021_nGoatsWghtDist_1000m","RVO2021_nGoatsWghtDist_2000m","RVO2021_nGoatsWghtDist_250m","RVO2021_nGoatsWghtDist_3000m","RVO2021_nGoatsWghtDist_500m","RVO2021_nHorsesPoniesDonkeyFarm_10000m","RVO2021_nHorsesPoniesDonkeyFarm_1000m","RVO2021_nHorsesPoniesDonkeyFarm_2000m","RVO2021_nHorsesPoniesDonkeyFarm_250m","RVO2021_nHorsesPoniesDonkeyFarm_3000m","RVO2021_nHorsesPoniesDonkeyFarm_500m","RVO2021_nHorsesPoniesDonkeyFarmWghtDist_10000m","RVO2021_nHorsesPoniesDonkeyFarmWghtDist_1000m","RVO2021_nHorsesPoniesDonkeyFarmWghtDist_2000m","RVO2021_nHorsesPoniesDonkeyFarmWghtDist_250m","RVO2021_nHorsesPoniesDonkeyFarmWghtDist_3000m","RVO2021_nHorsesPoniesDonkeyFarmWghtDist_500m","RVO2021_nHorsesPoniesDonkeys_10000m","RVO2021_nHorsesPoniesDonkeys_1000m","RVO2021_nHorsesPoniesDonkeys_2000m","RVO2021_nHorsesPoniesDonkeys_250m","RVO2021_nHorsesPoniesDonkeys_3000m","RVO2021_nHorsesPoniesDonkeys_500m","RVO2021_nHorsesPoniesDonkeysWghtDist_10000m","RVO2021_nHorsesPoniesDonkeysWghtDist_1000m","RVO2021_nHorsesPoniesDonkeysWghtDist_2000m","RVO2021_nHorsesPoniesDonkeysWghtDist_250m","RVO2021_nHorsesPoniesDonkeysWghtDist_3000m","RVO2021_nHorsesPoniesDonkeysWghtDist_500m","RVO2021_nPigFarm_10000m","RVO2021_nPigFarm_1000m","RVO2021_nPigFarm_2000m","RVO2021_nPigFarm_250m","RVO2021_nPigFarm_3000m","RVO2021_nPigFarm_500m","RVO2021_nPigFarmWghtDist_10000m","RVO2021_nPigFarmWghtDist_1000m","RVO2021_nPigFarmWghtDist_2000m","RVO2021_nPigFarmWghtDist_250m","RVO2021_nPigFarmWghtDist_3000m","RVO2021_nPigFarmWghtDist_500m","RVO2021_nPigs_10000m","RVO2021_nPigs_1000m","RVO2021_nPigs_2000m","RVO2021_nPigs_250m","RVO2021_nPigs_3000m","RVO2021_nPigs_500m","RVO2021_nPigsWghtDist_10000m","RVO2021_nPigsWghtDist_1000m","RVO2021_nPigsWghtDist_2000m","RVO2021_nPigsWghtDist_250m","RVO2021_nPigsWghtDist_3000m","RVO2021_nPigsWghtDist_500m","RVO2021_nSheep_10000m","RVO2021_nSheep_1000m","RVO2021_nSheep_2000m","RVO2021_nSheep_250m","RVO2021_nSheep_3000m","RVO2021_nSheep_500m","RVO2021_nSheepFarm_10000m","RVO2021_nSheepFarm_1000m","RVO2021_nSheepFarm_2000m","RVO2021_nSheepFarm_250m","RVO2021_nSheepFarm_3000m","RVO2021_nSheepFarm_500m","RVO2021_nSheepFarmWghtDist_10000m","RVO2021_nSheepFarmWghtDist_1000m","RVO2021_nSheepFarmWghtDist_2000m","RVO2021_nSheepFarmWghtDist_250m","RVO2021_nSheepFarmWghtDist_3000m","RVO2021_nSheepFarmWghtDist_500m","RVO2021_nSheepWghtDist_10000m","RVO2021_nSheepWghtDist_1000m","RVO2021_nSheepWghtDist_2000m","RVO2021_nSheepWghtDist_250m","RVO2021_nSheepWghtDist_3000m","RVO2021_nSheepWghtDist_500m"
"10006",0.00275482093663912,-363,0.00275482093663912,-363,0.000292997363023733,-3413,0.000149142431021626,-6705,0.000166861338227933,-5993,0.000655737704918033,-1525,0.00145985401459854,-685,0.0005824111822947,-1717,26822,158,1377,0,2084,158,166,2,13,0,19,2,0.0374441191213683,0.00536578699408037,0.0124398518123274,0,0.0151366223834253,0.00536578699408037,5.14302520212284,0.433823159197002,1.14297165882093,0,1.466733880716,0.433823159197002,30,0,0,0,0,0,0.00449027303410449,0,0,0,0,0,1860620,0,0,0,0,0,271.765460429033,0,0,0,0,0,9268,0,0,0,0,0,1,0,0,0,0,0,0.000149142431021626,0,0,0,0,0,1.38118485447408,0,0,0,0,0,6,0,0,0,0,0,0.000769150083136599,0,0,0,0,0,22829,0,6,0,8,0,3.01663901817634,0,0.00351360486733142,0,0.00436539362371983,0,48,0,1,0,1,0,0.00803326044315391,0,0.000655737704918033,0,0.000655737704918033,0,1213.49,4,37,0,53,4,0.22324547655554,0.0102915678663364,0.032747681032438,0,0.0394147744113206,0.0102915678663364,83,1,3,0,8,0,0.0157542271819551,0.00145985401459854,0.00262044203263494,0,0.00460936193863443,0,384020,10398,19799,0,48266,0,82.5133346328066,15.1795620437956,20.4093101961957,0,31.560856492002,0,2017,10,300,0,304,10,15,0,2,0,2,0,0.00319234560356532,0,0.00113581461339597,0,0.00113581461339597,0,0.477058528452552,0.0231481481481481,0.203389083261577,0,0.204758008655143,0.0231481481481481
"10013",0.00201612903225806,-496,0.00106044538706257,-943,0.00131578947368421,-760,0.00026638252530634,-3754,0.000411353352529823,-2431,0.00201612903225806,-496,0.00130718954248366,-765,0.000412031314379893,-2427,47707,153,3182,0,5624,0,249,1,15,0,33,0,0.0516278513049511,0.00106044538706257,0.00960086476667841,0,0.0169197424405615,0,9.68607723813916,0.162248144220573,1.94395623180463,0,2.9705466771434,0,44,2,3,0,4,0,0.0109834112709474,0.00244957632175677,0.0032746588300076,0,0.00376341738328228,0,2787345,24862,129368,0,181176,0,569.612290785364,30.0613796395751,116.287452246836,0,141.609055374891,0,9242,0,0,0,0,0,1,0,0,0,0,0,0.00026638252530634,0,0,0,0,0,2.46190729888119,0,0,0,0,0,10,0,0,0,1,0,0.00159044096487917,0,0,0,0.000411353352529823,0,21338,1,6,1,5573,1,4.27996639941871,0.00526315789473684,0.00885769419955352,0.00526315789473684,2.29879524603402,0.00526315789473684,43,1,4,0,10,1,0.0116641396304283,0.00201612903225806,0.00391865524323888,0,0.00622205879609928,0.00201612903225806,1002.16,11,75.5,0,208.22,11,0.257707184697876,0.0226675987178613,0.0639449414051421,0,0.115327938997049,0.0226675987178613,136,2,12,0,19,0,0.0305288278584009,0.00259751212312882,0.00912858062737984,0,0.0119456246510899,0,680185,8877,55483,0,96664,0,148.402117787123,11.5144086021505,42.309282605573,0,59.3952964012764,0,3470,23,129,5,331,23,15,0,0,0,1,0,0.00274626803043267,0,0,0,0.000412031314379893,0,0.761086373603059,0.0643707577612106,0.129302690780849,0.0263157894736842,0.210571552468799,0.0643707577612106
"10021",0.00224719101123596,-445,0.000969932104752667,-1031,0.00112739571589628,-887,0.000258531540847983,-3868,0.000395413206801107,-2529,0.00224719101123596,-445,0.00150602409638554,-664,0.000450653447498873,-2219,49442,0,2902,0,5728,0,251,0,13,0,34,0,0.0518713135757694,0,0.00838171483585823,0,0.0170821814394484,0,9.92720058369416,0,1.79384800964296,0,3.00823380684129,0,45,1,3,0,4,0,0.0106459772939261,0.00112739571589628,0.00281070326757677,0,0.00325416224762112,0,2828219,10292,129368,0,181176,0,564.119605955887,11.6031567080045,105.310486197528,0,128.285209035665,0,40242,0,0,0,0,0,2,0,0,0,0,0,0.000360520322082048,0,0,0,0,0,5.55100071877305,0,0,0,0,0,9,0,0,0,1,0,0.00149062882224336,0,0,0,0.000395413206801107,0,17700,1,6,1,5573,1,3.8541879018213,0.00961538461538462,0.0135431143875763,0.00961538461538462,2.21494746526359,0.00961538461538462,44,1,4,0,11,1,0.0121853134189998,0.00224719101123596,0.00427038608641842,0,0.00696958341241056,0.00224719101123596,1014.16,11,75.5,0,223.22,6,0.260751328175329,0.0210703994816798,0.0645600334579716,0,0.122063636398064,0.0134831460674157,141,2,9,0,19,0,0.0306565845752464,0.00252125252278148,0.00711281947119544,0,0.0113905401087345,0,715679,8877,45190,0,96664,0,149.284747788576,10.7643232829796,33.8242603648719,0,55.8757606501684,0,3402,23,85,5,331,5,14,0,0,0,1,0,0.00266642735587894,0,0,0,0.000450653447498873,0,0.770216160613778,0.0753910353682736,0.115914961423031,0.0480769230769231,0.224630213884983,0.0480769230769231
"10032",0.0072992700729927,-137,0.00144300144300144,-693,0.0072992700729927,-137,NA,NA,0.000157035175879397,-6368,0.00272479564032698,-367,0.00087719298245614,-1140,0.000757575757575758,-1320,36638,239,952,0,4392,0,182,2,7,0,17,0,0.0344722923645445,0.00244400244400244,0.00566322094334333,0,0.00958439631753796,0,7.11305813338259,0.312611312611313,0.790298568322969,0,2.22709679032693,0,47,2,3,1,6,1,0.0159027338389726,0.0082992700729927,0.00890717280855501,0.0072992700729927,0.010072713563269,0.0072992700729927,3798009,168885,184301,117987,795003,117987,1561.43026927677,912.11697810219,921.488406673618,861.21897810219,1143.71249812658,861.21897810219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0.000919877299756835,0,0,0,0,0,17758,0,2,0,6,0,2.31434297569866,0,0.00166527893422148,0,0.00308321583602935,0,54,2,3,0,5,1,0.0129355419375123,0.00372579664132798,0.00466564626538813,0,0.00547913058141051,0.00272479564032698,1316.3,22,33,0,76,16,0.271035696217613,0.0496027362512376,0.0595867125855159,0,0.0774691763578699,0.0435967302452316,138,0,4,0,8,0,0.0237059792849297,0,0.00312660322908437,0,0.00468025452692065,0,752131,0,8841,0,38075,0,122.698681682271,0,6.96401784059156,0,18.5572867127804,0,2669,0,89,0,89,0,14,0,1,0,1,0,0.00247702455143717,0,0.000757575757575758,0,0.000757575757575758,0,0.402785760915019,0,0.0658983235024627,0,0.0658983235024627,0
"10037",0.00234741784037559,-426,0.00156739811912226,-638,0.000706713780918728,-1415,0.000168804861580014,-5924,0.000218866272707376,-4569,0.00234741784037559,-426,0.00114942528735632,-870,0.000505816894284269,-1977,51563,1008,3166,0,7252,0,249,4,19,0,33,0,0.0553647760481908,0.0047243536909054,0.0143125529810895,0,0.0197982675955195,0,11.4687264639294,1.46853670757762,2.73489551052039,0,4.26481084879608,0,45,0,2,0,5,0,0.00948481544190384,0,0.00125019204178829,0,0.00247050013950938,0,2948933,0,81712,0,206572,0,565.334606971757,0,51.902838377631,0,102.78790226954,0,40242,0,0,0,0,0,2,0,0,0,0,0,0.000292597879653794,0,0,0,0,0,5.39767809100968,0,0,0,0,0,10,0,0,0,0,0,0.00154727925959831,0,0,0,0,0,19539,6,14,0,24,0,3.3688226731024,0.00630482456140351,0.0113173558897243,0,0.0151861140971602,0,41,4,8,0,12,1,0.0149865439271431,0.00589043258560173,0.00867629026682901,0,0.0103117525894008,0.00234741784037559,920.88,68,185.22,0,255.88,20,0.324756291572382,0.104660551256026,0.183842391142804,0,0.213105310475699,0.0469483568075117,157,1,6,0,15,0,0.0311917240540091,0.00114942528735632,0.00527735452863363,0,0.00871444954515924,0,814263,4342,26400,0,56891,0,152.934118673876,4.99080459770115,23.7598716932295,0,34.9650214595498,0,2724,32,236,0,301,0,10,0,1,0,1,0,0.00195023764127856,0,0.000505816894284269,0,0.000505816894284269,0,0.579670478471174,0.0333333333333333,0.143718915842837,0,0.170334888178491,0
"10049",0.0144927536231884,-69,0.0144927536231884,-69,0.0004995004995005,-2002,0.000186741363211951,-5355,0.000250125062531266,-3998,0.0016366612111293,-611,0.00157232704402516,-636,0.000725689404934688,-1378,53131,868,2368,792,5849,792,260,3,13,1,34,1,0.0681514583479515,0.0167775736544873,0.0231953456386052,0.0144927536231884,0.0314436851740007,0.0144927536231884,21.623309853731,11.5665863781724,12.4743552306314,11.4782608695652,13.8648656434238,11.4782608695652,46,0,0,0,6,0,0.00939051830094763,0,0,0,0.00245338541717078,0,2983791,0,0,0,292828,0,546.399817336495,0,0,0,112.717977285547,0,40242,0,0,0,0,0,2,0,0,0,0,0,0.000308248046079509,0,0,0,0,0,5.49257084769914,0,0,0,0,0,10,0,0,0,0,0,0.00156232486248852,0,0,0,0,0,19543,5,7,0,29,0,3.45314815002342,0.00555555555555556,0.00678108302235198,0,0.0152784329377821,0,42,1,9,0,11,0,0.0130153995258088,0.0016366612111293,0.00723591515207197,0,0.00799243671798766,0,920.88,28.5,191.22,0,246.38,0,0.293044522974209,0.0445368487736079,0.155386122840132,0,0.177680199462615,0,166,2,7,0,14,0,0.0329869573085616,0.00282860845106033,0.00629934094010341,0,0.00902478291928155,0,836998,10793,27267,0,52507,0,159.992944001678,15.597855630353,27.6602691297458,0,36.7859215343628,0,3338,0,216,0,333,0,13,0,1,0,1,0,0.00256188444137631,0,0.000725689404934688,0,0.000725689404934688,0,0.695798296516012,0,0.15379592514417,0,0.199353047338358,0
"10054",0.00214592274678112,-466,0.00147710487444609,-677,0.000542299349240781,-1844,0.000156592546194801,-6386,0.00193423597678917,-517,0.000587889476778366,-1701,0.00214592274678112,-466,0.00034106412005457,-2932,49347,61,1874,0,3790,0,279,2,13,0,25,0,0.0543529803958736,0.00267042229688045,0.0100793827130141,0,0.014966002144416,0,9.55134211645248,0.0747788749325785,1.32678717125323,0,2.10249381918221,0,67,0,2,0,5,0,0.0119618779475183,0,0.00106972550957833,0,0.00227972928249172,0,2960944,0,70590,0,150983,0,529.031632683813,0,37.7464876392359,0,69.2263279669654,0,40242,0,0,0,0,0,2,0,0,0,0,0,0.00028406227213489,0,0,0,0,0,6.03244413917714,0,0,0,0,0,11,1,1,0,3,0,0.00377611750380335,0.00193423597678917,0.00193423597678917,0,0.00266450017968005,0,21322,1279,1279,0,3294,0,5.52198876103578,2.47388781431335,2.47388781431335,0,3.20014039545381,0,58,0,1,0,2,0,0.00951634675379884,0,0.000587889476778366,0,0.000974288240302322,0,1547.9,1,19,0,29.5,0,0.238534469836992,0.00119331742243437,0.0118898716315334,0,0.0161337881199332,0,205,5,10,0,23,1,0.0454552457935702,0.0068195722767131,0.0101743099355394,0,0.0156612936167935,0.00214592274678112,922378,47361,68032,0,142861,3440,228.165949464673,53.7330887766608,67.91428032557,0,99.9858709592303,7.38197424892704,4546,0,0,0,1138,0,19,0,0,0,1,0,0.00307179339577095,0,0,0,0.00034106412005457,0,0.907739942374275,0,0,0,0.392057481864043,0
"10076",0.000705218617771509,-1418,0.000705218617771509,-1418,0.000392927308447937,-2545,0.000335457900033546,-2981,0.000242189392104626,-4129,0.000557724484104852,-1793,0.000633312222925902,-1579,0.000396982929734021,-2519,31220,5,266,0,1320,1,193,0,2,0,11,0,0.0328495535373249,0,0.00122578082495527,0,0.00487891571072078,0,4.95765565834596,0.010108835311012,0.147268166260087,0,0.578971953690964,0.00247524752475248,34,0,0,0,1,0,0.00558890148867413,0,0,0,0.000392927308447937,0,1798618,0,0,0,30758,0,274.167484121328,0,0,0,12.0856581532417,0,9242,0,0,0,9242,0,1,0,0,0,1,0,0.000335457900033546,0,0,0,0.000335457900033546,0,3.10030191211003,0,0,0,3.10030191211003,0,6,0,0,0,0,0,0.00111850340849981,0,0,0,0,0,12123,2,7,0,14,0,2.67526189042355,0.00200803212851406,0.00483706542162631,0,0.00752840026804479,0,44,0,1,0,4,0,0.00767697629881252,0,0.000557724484104852,0,0.00189767571255178,0,1127,0,22,0,137,0,0.212280908908504,0,0.0125649269176401,0,0.0636127559724448,0,90,0,1,0,1,0,0.0141674272027676,0,0.000633312222925902,0,0.000633312222925902,0,393399,0,1099,0,1099,0,60.3603667136346,0,0.696010132995567,0,0.696010132995567,0,5132,0,3,0,113,0,19,0,0,0,1,0,0.00324531665788782,0,0,0,0.000396982929734021,0,0.78796985237328,0,0.00166759310728182,0,0.0458975186883488,0
"10078",0.00286532951289398,-349,0.000986193293885602,-1014,0.000798084596967279,-1253,0.000263296471827277,-3798,0.000409668168783286,-2441,0.00286532951289398,-349,0.00102564102564103,-975,0.000544959128065395,-1835,49229,0,3257,0,6243,0,250,0,15,0,33,0,0.0524554853239184,0,0.00983675178368739,0,0.0172247596746781,0,10.1309389533198,0,2.14899894417587,0,3.3508436985077,0,44,0,3,0,6,0,0.0100867484732924,0,0.0022108181416623,0,0.00328687833601389,0,2776753,0,129368,0,259075,0,554.943512429588,0,100.874619518965,0,147.188737275947,0,40242,0,0,0,0,0,2,0,0,0,0,0,0.000367964673627571,0,0,0,0,0,5.67810024843678,0,0,0,0,0,9,0,0,0,1,0,0.00154128027506072,0,0,0,0.000409668168783286,0,17667,1,11,0,5575,0,3.95275572148524,0.00170068027210884,0.00772476082109906,0,2.28700230897454,0,44,1,4,0,9,1,0.012673881167574,0.00286532951289398,0.00494488685524509,0,0.00683222436376117,0.00286532951289398,1000.94,6,78.72,0,174.72,6,0.261577553105432,0.0171919770773639,0.0709277587762876,0,0.108314526936611,0.0171919770773639,147,1,9,0,19,0,0.0304764701299865,0.00102564102564103,0.006051220926932,0,0.0101879195693603,0,717853,3570,39367,0,98423,0,145.071803679468,3.66153846153846,24.834096827919,0,49.8820532729002,0,3419,5,241,0,331,0,14,0,1,0,1,0,0.00282278247911883,0,0.000544959128065395,0,0.000544959128065395,0,0.759770138111035,0.00850340136054422,0.150773080817837,0,0.185356872326437,0
"10087",0.002710027100271,-369,0.00111982082866741,-893,0.000847457627118644,-1180,0.00027063599458728,-3695,0.000427715996578272,-2338,0.002710027100271,-369,0.00111982082866741,-893,0.000553403431101273,-1807,49855,550,3431,0,6205,0,253,2,17,0,31,0,0.0532408426385449,0.00215932186816845,0.0114628849089027,0,0.017076794243525,0,10.2846124659541,0.603612528024622,2.36182664448234,0,3.43578851540443,0,44,0,3,0,6,0,0.0101028316223319,0,0.00216283162847684,0,0.00326889164737407,0,2776753,0,129368,0,259075,0,559.167428255483,0,104.905643603212,0,152.191991311961,0,40242,0,0,0,0,0,2,0,0,0,0,0,0.000375129202528764,0,0,0,0,0,5.74050730816164,0,0,0,0,0,9,0,0,0,1,0,0.00156635173067653,0,0,0,0.000427715996578272,0,17667,1,11,0,5575,0,4.05233701470397,0.00136425648021828,0.00729347183312811,0,2.38696880791417,0,44,1,4,0,9,1,0.0122984049248384,0.002710027100271,0.00468818149191135,0,0.00648230014897969,0.002710027100271,975.94,9,78.72,0,174.72,6,0.255005719709429,0.0193949588398705,0.0687507458768389,0,0.104540763337686,0.016260162601626,148,1,9,0,20,0,0.0305460713409029,0.00111982082866741,0.0059802506340186,0,0.0104014792426499,0,721453,867,40399,0,100260,0,145.097747432575,0.970884658454647,24.601991761976,0,49.7687422262967,0,3536,5,241,0,331,0,15,0,1,0,1,0,0.00297816023808503,0,0.000553403431101273,0,0.000553403431101273,0,0.783462753073853,0.00682128240109141,0.150718627976948,0,0.184237014916265,0
